date,primary type,secondary type,latitude,longitude
2016-01-29 13:00:00,BURGLARY,FORCIBLE ENTRY,41.774275614,-87.604574728
2016-01-29 03:00:00,ROBBERY,STRONGARM - NO WEAPON,41.765688442,-87.616306382
2016-01-28 17:57:00,CRIMINAL DAMAGE,TO VEHICLE,41.777967289,-87.615568353
2016-01-28 17:00:00,CRIMINAL DAMAGE,TO PROPERTY,41.777991135,-87.607135703
2016-01-28 14:45:00,BURGLARY,FORCIBLE ENTRY,41.785197778,-87.613262047
2016-01-28 10:10:00,CRIMINAL DAMAGE,TO PROPERTY,41.770969165,-87.586268228
2016-01-28 10:00:00,CRIMINAL DAMAGE,TO PROPERTY,41.774064802,-87.603356326
2016-01-28 08:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,41.763948563,-87.593369017
2016-01-28 00:05:00,CRIMINAL DAMAGE,TO VEHICLE,41.777778436,-87.609524826
2016-01-28 00:01:00,CRIMINAL DAMAGE,TO VEHICLE,41.781995935,-87.591383312
2016-01-27 22:30:00,MOTOR VEHICLE THEFT,AUTOMOBILE,41.78217295,-87.609233417
2016-01-27 19:17:00,CRIMINAL DAMAGE,TO PROPERTY,41.779430704,-87.609557575
2016-01-27 17:00:00,BURGLARY,FORCIBLE ENTRY,41.774369057,-87.597278237
2016-01-26 22:00:00,CRIMINAL DAMAGE,TO VEHICLE,41.765808102,-87.609567749
2016-01-26 16:45:00,ROBBERY,STRONGARM - NO WEAPON,41.780253982,-87.614802244
2016-01-26 13:30:00,BURGLARY,FORCIBLE ENTRY,41.76573997,-87.613574968
2016-01-25 20:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,41.777709298,-87.615563898
2016-01-25 18:15:00,BURGLARY,FORCIBLE ENTRY,41.785197778,-87.613262047
2016-01-25 16:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,41.7746266,-87.592942008
2016-01-25 15:00:00,ROBBERY,ARMED: HANDGUN,41.782971547,-87.614478581
2016-01-25 12:00:00,CRIMINAL DAMAGE,TO VEHICLE,41.765126016,-87.600671865
2016-01-24 21:00:00,BURGLARY,HOME INVASION,41.770823778,-87.585012531
2016-01-24 19:14:00,CRIMINAL DAMAGE,TO PROPERTY,41.78340035,-87.613274825
2016-01-24 16:10:00,CRIMINAL DAMAGE,TO PROPERTY,41.781275961,-87.613225264
2016-01-24 12:36:00,CRIMINAL DAMAGE,TO VEHICLE,41.774289841,-87.603357441
2016-01-24 12:00:00,ROBBERY,ARMED: HANDGUN,41.777670858,-87.61556066
2016-01-24 10:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,41.782992753,-87.61085947
2016-01-24 01:35:00,CRIMINAL DAMAGE,TO PROPERTY,41.783891154,-87.615399623
2016-01-24 01:06:00,BURGLARY,FORCIBLE ENTRY,41.785187197,-87.608524835
2016-01-23 23:55:00,CRIMINAL DAMAGE,TO VEHICLE,41.781256752,-87.613225479
2016-01-23 23:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,41.769688525,-87.587258184
2016-01-23 11:45:00,MOTOR VEHICLE THEFT,AUTOMOBILE,41.772105071,-87.609379655
2016-01-23 08:00:00,CRIMINAL DAMAGE,TO PROPERTY,41.774205063,-87.614283196
2016-01-23 03:34:00,ROBBERY,ARMED: HANDGUN,41.777503445,-87.615558861
2016-01-22 22:30:00,ROBBERY,ARMED: HANDGUN,41.774330555,-87.615480591
2016-01-22 19:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,41.78022363,-87.616533115
2016-01-22 17:20:00,CRIMINAL DAMAGE,TO PROPERTY,41.770839645,-87.589568991
2016-01-22 16:50:00,ROBBERY,ATTEMPT: AGGRAVATED,41.777827843,-87.586375609
2016-01-22 09:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,41.770584995,-87.585007974
2016-01-21 22:15:00,CRIMINAL DAMAGE,TO VEHICLE,41.781811321,-87.594674264
2016-01-21 18:00:00,ROBBERY,STRONGARM - NO WEAPON,41.780211432,-87.597244425
2016-01-21 17:55:00,ROBBERY,ARMED: HANDGUN,41.778015745,-87.598061446
2016-01-21 17:20:00,ROBBERY,STRONGARM - NO WEAPON,41.770234127,-87.611666164
2016-01-21 10:53:00,BURGLARY,UNLAWFUL ENTRY,41.777503445,-87.615558861
2016-01-21 10:00:00,ROBBERY,VEHICULAR HIJACKING,41.768053438,-87.62018034
2016-01-21 07:15:00,MOTOR VEHICLE THEFT,AUTOMOBILE,41.775969213,-87.597314933
2016-01-20 18:10:00,MOTOR VEHICLE THEFT,AUTOMOBILE,41.764965389,-87.610405626
2016-01-20 16:30:00,BURGLARY,FORCIBLE ENTRY,41.774282124,-87.602144068
2016-01-20 16:00:00,ROBBERY,STRONGARM - NO WEAPON,41.765253769,-87.615255549
