Total Docks,Latitude,Longitude
15,41.991178,-87.683593
19,41.99089375,-87.669583398
19,41.989742511,-87.660140621
19,41.984036696,-87.652310469
15,41.983593,-87.669154
15,41.984044611,-87.66027383
15,41.979770217,-87.675814728
19,41.977996654,-87.668047105
15,41.975614805,-87.679459039
23,41.9716,-87.650154
15,42.012132277,-87.682912644
15,42.008594397,-87.690492239
15,41.983664709,-87.696422561
15,41.980394235,-87.716114962
15,41.975672,-87.709261
15,41.975632725,-87.701419439
15,41.974911297,-87.692502559
15,41.968354494,-87.711830668
15,41.968711069,-87.69616957
15,41.966686362,-87.708051981
11,41.966317529,-87.701082677
15,41.96590014,-87.693638494
11,41.961154076,-87.716569073
15,41.961989761,-87.708168376
15,41.961068,-87.695439
15,41.961525933,-87.691165041
19,41.953858,-87.73257
15,41.954004839,-87.71912818
15,41.953586179,-87.7093108
15,41.954340852,-87.686079624
18,41.952162193,-87.698051113
15,41.945636441,-87.727736814
23,41.946781849,-87.716421522
15,41.945243568,-87.706649901
15,41.946635831,-87.694614758
13,41.94702904,-87.683367214
15,41.943026165,-87.687394535
15,41.982397085,-87.70892252
15,41.961108016,-87.728970101
19,41.939448392,-87.723553833
23,41.939398,-87.711561
19,41.938428791,-87.698007756
15,41.930585371,-87.723777364
15,41.935337283,-87.716889294
15,41.931901969,-87.70119513
19,41.926618,-87.697899
15,41.924398819,-87.715441036
15,41.924632472,-87.689307006
15,41.92409085,-87.676460075
15,41.917183752,-87.710356652
19,41.917513394,-87.701808956
15,41.909656876,-87.716631952
13,41.909769302,-87.705280487
15,41.902706594,-87.709219571
15,41.914026713,-87.705126462
